__ratio_all,__ratio_candidate,__ratio_others,__sum_all,__sum_candidate,__sum_others,__total_all,__total_candidate,__total_others,file,more_likely_candidate,more_likely_others,twitter_handle,word
1.1376700000000002,0.00013000000000000002,0.00011,14.0,4.0,10.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.23349,0.81071,alvarodias_,adversário
1.0564,0.0001,0.00011,13.0,3.0,10.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.92512,1.08094,alvarodias_,adversários
0.24379,2.9999999999999997e-05,2e-05,3.0,1.0,2.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.54186,0.64857,alvarodias_,adverte
0.5688300000000001,7e-05,5e-05,7.0,2.0,5.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.23349,0.81071,alvarodias_,advocacia
0.24379,7e-05,1e-05,3.0,2.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,6.16745,0.16214,alvarodias_,advogada
1.38145,0.0002,0.00011999999999999999,17.0,6.0,11.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.68203,0.5945199999999999,alvarodias_,advogado
1.30019,0.00027,9e-05,16.0,8.0,8.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,advogados
2.51912,0.0001,0.0003,31.0,3.0,28.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.3304,3.02664,alvarodias_,aeroporto
0.8938799999999999,0.00022999999999999998,4e-05,11.0,7.0,4.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,5.39652,0.1853,alvarodias_,afastamento
0.5688300000000001,7e-05,5e-05,7.0,2.0,5.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.23349,0.81071,alvarodias_,afastar
0.32505,2.9999999999999997e-05,2.9999999999999997e-05,4.0,1.0,3.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.02791,0.97285,alvarodias_,afeta
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,afetado
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,afiada
2.60038,0.0008300000000000001,8e-05,32.0,25.0,7.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,11.01331,0.0908,alvarodias_,afirma
